training_fraction,training_subset,training_tokens,from_order,to_order,delta_H_observed,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_positive
0.05,5%,40000,1,2,1.1416934386325226,1000,5000,0.95,1.141841255795247,0.013267965867159465,1.1157002700727767,1.1670718051245546,False,1.0
0.05,5%,40000,2,3,1.330172387648717,1000,5000,0.95,1.3305181709231766,0.027195283624605496,1.2754866300818977,1.3820958615685888,False,1.0
0.05,5%,40000,3,4,0.18823850982557647,1000,5000,0.95,0.1883930451238199,0.009727518771576672,0.1695334133775722,0.20777803505977444,False,1.0
0.05,5%,40000,4,5,0.022184366354969735,1000,5000,0.95,0.022149602286493156,0.0027391382008407077,0.017260346324544314,0.02796810878092754,False,1.0
0.05,5%,40000,5,6,0.005514348112261001,1000,5000,0.95,0.005496439608217363,0.0012907771613552466,0.0033331019777997515,0.00835157750453478,False,1.0
0.1,10%,79000,1,2,0.8966528092514738,1000,5000,0.95,0.8970891962939289,0.017887371678607687,0.8633793263744883,0.9337335386980578,False,1.0
0.1,10%,79000,2,3,1.5141508316115808,1000,5000,0.95,1.5143129662587962,0.028342267838763844,1.4589983385786698,1.5692905304884448,False,1.0
0.1,10%,79000,3,4,0.29616519028342897,1000,5000,0.95,0.2961394066829168,0.010337693602297377,0.27570324958579584,0.31607382199584116,False,1.0
0.1,10%,79000,4,5,0.0340608946129367,1000,5000,0.95,0.034116117901406805,0.0032975261327452777,0.028013965086649457,0.04078261764137471,False,1.0
0.1,10%,79000,5,6,0.0077611380103395295,1000,5000,0.95,0.007761081038399324,0.0014401509741154182,0.0052646088166461895,0.010890951739790987,False,1.0
0.2,20%,158000,1,2,0.639081436584407,1000,5000,0.95,0.6390302367016547,0.01926176872886246,0.6020863495927629,0.6772376378492919,False,1.0
0.2,20%,158000,2,3,1.6411825392438384,1000,5000,0.95,1.6415848397390531,0.02681348272529402,1.5889224197579879,1.6927261905895543,False,1.0
0.2,20%,158000,3,4,0.4324261299331704,1000,5000,0.95,0.4323289848241508,0.014188462113604507,0.4038116812067937,0.45995792206717145,False,1.0
0.2,20%,158000,4,5,0.056119527689218796,1000,5000,0.95,0.05604854001653099,0.004509065363687024,0.047632191682993735,0.06513775485276349,False,1.0
0.2,20%,158000,5,6,0.009463348766409984,1000,5000,0.95,0.009485687458643402,0.0023634141046960755,0.004618354336349816,0.013972302955796507,False,0.9994
0.4,40%,316000,1,2,0.37535937097081207,1000,5000,0.95,0.37558732066762895,0.01972209473771564,0.3373106802718903,0.4140455627128959,False,1.0
0.4,40%,316000,2,3,1.7237730321156313,1000,5000,0.95,1.7233394681656082,0.02367799266149773,1.6762127812161578,1.7680747624576565,False,1.0
0.4,40%,316000,3,4,0.5943099473314687,1000,5000,0.95,0.594557550764357,0.01804134329976941,0.5579942254898376,0.629161707145435,False,1.0
0.4,40%,316000,4,5,0.0849409571107407,1000,5000,0.95,0.08503955512427837,0.005873452565626623,0.07381418548254408,0.09660919813898118,False,1.0
0.4,40%,316000,5,6,0.013417485450561107,1000,5000,0.95,0.013390169443771032,0.0025794047233827395,0.008164582818684188,0.01822260014795205,False,1.0
0.8,80%,632755,1,2,0.12550444837978084,1000,5000,0.95,0.12502449416314176,0.019046223333266107,0.08761909508213352,0.16246370059110404,False,1.0
0.8,80%,632755,2,3,1.752854488092559,1000,5000,0.95,1.7528917319464838,0.020119692536857713,1.7121869453722451,1.7908058823424307,False,1.0
0.8,80%,632755,3,4,0.7686575147634904,1000,5000,0.95,0.7691186784164291,0.021535644713078117,0.727008632818859,0.8106342065046842,False,1.0
0.8,80%,632755,4,5,0.12469339282439251,1000,5000,0.95,0.1245415015121746,0.007469253981804428,0.1099323181683162,0.13923321325248736,False,1.0
0.8,80%,632755,5,6,0.018844507692314286,1000,5000,0.95,0.018844542788030008,0.0038007127875027114,0.011073689726949679,0.02601995181143105,False,1.0
1.0,100%,790755,1,2,0.05089228556522392,1000,5000,0.95,0.050428049353577135,0.019109756732319037,0.01294402503096428,0.08748671155948026,False,0.9966
1.0,100%,790755,2,3,1.7497026195408623,1000,5000,0.95,1.7494276104210447,0.018803116716813995,1.711946868860386,1.784859331558107,False,1.0
1.0,100%,790755,3,4,0.8265061259345307,1000,5000,0.95,0.8262240654852893,0.022545810242150806,0.7810808649898165,0.8694871387577218,False,1.0
1.0,100%,790755,4,5,0.14161544333225531,1000,5000,0.95,0.14139286908312654,0.008192951637984915,0.12543686067350676,0.15748471714114237,False,1.0
1.0,100%,790755,5,6,0.02305382865805349,1000,5000,0.95,0.023045656789895133,0.004138839146569687,0.014326384544980949,0.031035260245953697,False,1.0
