training_fraction,training_subset,training_tokens,from_order,to_order,delta_H_observed,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_positive
0.05,5%,40000,1,2,1.1416934386325226,1000,5000,0.95,1.141841255795247,0.013267965867159465,1.1157002700727767,1.1670718051245546,False,1.0
0.05,5%,40000,1,2,1.1416934386325226,500,5000,0.95,1.1418979903510922,0.011102253023174802,1.1201652012762937,1.1638496972219088,False,1.0
0.05,5%,40000,1,2,1.1416934386325226,2000,5000,0.95,1.1416123668865992,0.015033487490440315,1.111950627410548,1.170052840870529,False,1.0
0.05,5%,40000,2,3,1.330172387648717,1000,5000,0.95,1.3305181709231766,0.027195283624605496,1.2754866300818977,1.3820958615685888,False,1.0
0.05,5%,40000,2,3,1.330172387648717,500,5000,0.95,1.3298789737005037,0.02056242525862783,1.2884784921855348,1.3692639010429088,False,1.0
0.05,5%,40000,2,3,1.330172387648717,2000,5000,0.95,1.3295370383476854,0.03604581335548108,1.257059604856851,1.3970663358979782,False,1.0
0.05,5%,40000,3,4,0.18823850982557647,1000,5000,0.95,0.1883930451238199,0.009727518771576672,0.1695334133775722,0.20777803505977444,False,1.0
0.05,5%,40000,3,4,0.18823850982557647,500,5000,0.95,0.18843219679702253,0.007796820380995052,0.17339171190066696,0.20345124351390673,False,1.0
0.05,5%,40000,3,4,0.18823850982557647,2000,5000,0.95,0.18852192915848692,0.012149132788509974,0.16518492453041678,0.2125940020171227,False,1.0
0.05,5%,40000,4,5,0.022184366354969735,1000,5000,0.95,0.022149602286493156,0.0027391382008407077,0.017260346324544314,0.02796810878092754,False,1.0
0.05,5%,40000,4,5,0.022184366354969735,500,5000,0.95,0.022139681905879966,0.0025461635837745683,0.017578681839598553,0.027527925450532755,False,1.0
0.05,5%,40000,4,5,0.022184366354969735,2000,5000,0.95,0.022227163911485052,0.002899734991848399,0.016922165821058825,0.02826434385833495,False,1.0
0.05,5%,40000,5,6,0.005514348112261001,1000,5000,0.95,0.005496439608217363,0.0012907771613552466,0.0033331019777997515,0.00835157750453478,False,1.0
0.05,5%,40000,5,6,0.005514348112261001,500,5000,0.95,0.0055236376282620896,0.0012365901467812869,0.003398832693524963,0.008178180200502183,False,1.0
0.05,5%,40000,5,6,0.005514348112261001,2000,5000,0.95,0.0055189636250916035,0.0013048481519611597,0.0032441069309821443,0.008386809518832142,False,1.0
0.1,10%,79000,1,2,0.8966528092514738,1000,5000,0.95,0.8970891962939289,0.017887371678607687,0.8633793263744883,0.9337335386980578,False,1.0
0.1,10%,79000,1,2,0.8966528092514738,500,5000,0.95,0.8968475127376434,0.014290066152886792,0.8694362931478017,0.924444428217041,False,1.0
0.1,10%,79000,1,2,0.8966528092514738,2000,5000,0.95,0.8963132136771277,0.022702099477293933,0.8536651984389632,0.9431512845863046,False,1.0
0.1,10%,79000,2,3,1.5141508316115808,1000,5000,0.95,1.5143129662587962,0.028342267838763844,1.4589983385786698,1.5692905304884448,False,1.0
0.1,10%,79000,2,3,1.5141508316115808,500,5000,0.95,1.5142966822079817,0.021757003036399544,1.470683303086038,1.555777054812359,False,1.0
0.1,10%,79000,2,3,1.5141508316115808,2000,5000,0.95,1.5137929585631784,0.03814254902142286,1.4400841320592455,1.5882148648811423,False,1.0
0.1,10%,79000,3,4,0.29616519028342897,1000,5000,0.95,0.2961394066829168,0.010337693602297377,0.27570324958579584,0.31607382199584116,False,1.0
0.1,10%,79000,3,4,0.29616519028342897,500,5000,0.95,0.2960334536797739,0.008220848908354438,0.2798210331282499,0.31186389460063757,False,1.0
0.1,10%,79000,3,4,0.29616519028342897,2000,5000,0.95,0.2962161231577024,0.01336244310101507,0.2705453929707863,0.3222702020411507,False,1.0
0.1,10%,79000,4,5,0.0340608946129367,1000,5000,0.95,0.034116117901406805,0.0032975261327452777,0.028013965086649457,0.04078261764137471,False,1.0
0.1,10%,79000,4,5,0.0340608946129367,500,5000,0.95,0.034034039553220256,0.002972154326942676,0.028617787454575157,0.04015820718299845,False,1.0
0.1,10%,79000,4,5,0.0340608946129367,2000,5000,0.95,0.03395955002503996,0.0037094164577490653,0.026990039965745154,0.0415913701879622,False,1.0
0.1,10%,79000,5,6,0.0077611380103395295,1000,5000,0.95,0.007761081038399324,0.0014401509741154182,0.0052646088166461895,0.010890951739790987,False,1.0
0.1,10%,79000,5,6,0.0077611380103395295,500,5000,0.95,0.00776079506355845,0.0013876541082406737,0.005342617164682539,0.010776013560974866,False,1.0
0.1,10%,79000,5,6,0.0077611380103395295,2000,5000,0.95,0.007754858247691635,0.0014577339737988067,0.005172432265310767,0.010870513726025611,False,1.0
0.2,20%,158000,1,2,0.639081436584407,1000,5000,0.95,0.6390302367016547,0.01926176872886246,0.6020863495927629,0.6772376378492919,False,1.0
0.2,20%,158000,1,2,0.639081436584407,500,5000,0.95,0.6390702194737544,0.015387723982199062,0.6091986399760158,0.6682734410032977,False,1.0
0.2,20%,158000,1,2,0.639081436584407,2000,5000,0.95,0.6390388984163824,0.02398601496405249,0.5948780187271723,0.6887839869642827,False,1.0
0.2,20%,158000,2,3,1.6411825392438384,1000,5000,0.95,1.6415848397390531,0.02681348272529402,1.5889224197579879,1.6927261905895543,False,1.0
0.2,20%,158000,2,3,1.6411825392438384,500,5000,0.95,1.6412259113152534,0.020690606643826152,1.6000521108045875,1.6810202503841407,False,1.0
0.2,20%,158000,2,3,1.6411825392438384,2000,5000,0.95,1.6410613666594458,0.035435987465729714,1.5697441289802934,1.7081519888711243,False,1.0
0.2,20%,158000,3,4,0.4324261299331704,1000,5000,0.95,0.4323289848241508,0.014188462113604507,0.4038116812067937,0.45995792206717145,False,1.0
0.2,20%,158000,3,4,0.4324261299331704,500,5000,0.95,0.4325336757681647,0.011193941561771137,0.41079946928022476,0.4542038184032644,False,1.0
0.2,20%,158000,3,4,0.4324261299331704,2000,5000,0.95,0.4324698731148297,0.018645202962446577,0.39428394305729386,0.4687032184617548,False,1.0
0.2,20%,158000,4,5,0.056119527689218796,1000,5000,0.95,0.05604854001653099,0.004509065363687024,0.047632191682993735,0.06513775485276349,False,1.0
0.2,20%,158000,4,5,0.056119527689218796,500,5000,0.95,0.056120089364910905,0.003871189465086981,0.04888508747504019,0.06416030822768906,False,1.0
0.2,20%,158000,4,5,0.056119527689218796,2000,5000,0.95,0.056096556521300474,0.005082048986695681,0.04630538095700305,0.06637108524487789,False,1.0
0.2,20%,158000,5,6,0.009463348766409984,1000,5000,0.95,0.009485687458643402,0.0023634141046960755,0.004618354336349816,0.013972302955796507,False,0.9994
0.2,20%,158000,5,6,0.009463348766409984,500,5000,0.95,0.009419549102273723,0.0021759506522112436,0.004950979917713831,0.013652157282717773,False,1.0
0.2,20%,158000,5,6,0.009463348766409984,2000,5000,0.95,0.009524876060536112,0.0024558165136933908,0.0045551706376789625,0.014196480819724638,False,0.9998
0.4,40%,316000,1,2,0.37535937097081207,1000,5000,0.95,0.37558732066762895,0.01972209473771564,0.3373106802718903,0.4140455627128959,False,1.0
0.4,40%,316000,1,2,0.37535937097081207,500,5000,0.95,0.3754171276752676,0.016226476887388687,0.34347853253093474,0.4063103381371209,False,1.0
0.4,40%,316000,1,2,0.37535937097081207,2000,5000,0.95,0.37563978945020754,0.025480692616417323,0.32652296434372236,0.4265440659621573,False,1.0
0.4,40%,316000,2,3,1.7237730321156313,1000,5000,0.95,1.7233394681656082,0.02367799266149773,1.6762127812161578,1.7680747624576565,False,1.0
0.4,40%,316000,2,3,1.7237730321156313,500,5000,0.95,1.7234962139060728,0.018374973639026057,1.6870205777321958,1.7601451678502977,False,1.0
0.4,40%,316000,2,3,1.7237730321156313,2000,5000,0.95,1.723337161317523,0.030648421686937235,1.6622259322620716,1.7819075446778079,False,1.0
0.4,40%,316000,3,4,0.5943099473314687,1000,5000,0.95,0.594557550764357,0.01804134329976941,0.5579942254898376,0.629161707145435,False,1.0
0.4,40%,316000,3,4,0.5943099473314687,500,5000,0.95,0.5943118604014272,0.013979571359401359,0.5662376104655895,0.6208874790465237,False,1.0
0.4,40%,316000,3,4,0.5943099473314687,2000,5000,0.95,0.5948527055884714,0.02325078295208575,0.5494829365289211,0.6394588652434511,False,1.0
0.4,40%,316000,4,5,0.0849409571107407,1000,5000,0.95,0.08503955512427837,0.005873452565626623,0.07381418548254408,0.09660919813898118,False,1.0
0.4,40%,316000,4,5,0.0849409571107407,500,5000,0.95,0.08491340460274621,0.0050176317878111035,0.07526590762859528,0.09468516906527276,False,1.0
0.4,40%,316000,4,5,0.0849409571107407,2000,5000,0.95,0.08478448635737076,0.006889781097677791,0.07149408143759645,0.09829352328275968,False,1.0
0.4,40%,316000,5,6,0.013417485450561107,1000,5000,0.95,0.013390169443771032,0.0025794047233827395,0.008164582818684188,0.01822260014795205,False,1.0
0.4,40%,316000,5,6,0.013417485450561107,500,5000,0.95,0.01341092177799335,0.0024332104438840223,0.008345442207079978,0.017992892666808067,False,1.0
0.4,40%,316000,5,6,0.013417485450561107,2000,5000,0.95,0.013377525416961248,0.0028424419516236516,0.007320616544039653,0.018687541963434876,False,1.0
0.8,80%,632755,1,2,0.12550444837978084,1000,5000,0.95,0.12502449416314176,0.019046223333266107,0.08761909508213352,0.16246370059110404,False,1.0
0.8,80%,632755,1,2,0.12550444837978084,500,5000,0.95,0.12549993761453268,0.015828993462818096,0.09436308736886688,0.15651070082533172,False,1.0
0.8,80%,632755,1,2,0.12550444837978084,2000,5000,0.95,0.1253343056900423,0.02402797066290572,0.07802836376838776,0.17423310227180866,False,1.0
0.8,80%,632755,2,3,1.752854488092559,1000,5000,0.95,1.7528917319464838,0.020119692536857713,1.7121869453722451,1.7908058823424307,False,1.0
0.8,80%,632755,2,3,1.752854488092559,500,5000,0.95,1.7532258175780115,0.01628189419655231,1.7210723974786566,1.783812748139634,False,1.0
0.8,80%,632755,2,3,1.752854488092559,2000,5000,0.95,1.7535453273227046,0.025854864522406065,1.7018626190799042,1.801940959148802,False,1.0
0.8,80%,632755,3,4,0.7686575147634904,1000,5000,0.95,0.7691186784164291,0.021535644713078117,0.727008632818859,0.8106342065046842,False,1.0
0.8,80%,632755,3,4,0.7686575147634904,500,5000,0.95,0.7684339448086587,0.017033894103446297,0.7350400786131908,0.8000265498350569,False,1.0
0.8,80%,632755,3,4,0.7686575147634904,2000,5000,0.95,0.768719971291671,0.028100497596047547,0.714674068098091,0.8225543217514888,False,1.0
0.8,80%,632755,4,5,0.12469339282439251,1000,5000,0.95,0.1245415015121746,0.007469253981804428,0.1099323181683162,0.13923321325248736,False,1.0
0.8,80%,632755,4,5,0.12469339282439251,500,5000,0.95,0.1247880483542448,0.0063697137190979365,0.11249176419504778,0.1374715770904121,False,1.0
0.8,80%,632755,4,5,0.12469339282439251,2000,5000,0.95,0.12447451396216039,0.009156015201958159,0.10703942354129822,0.1425796272890474,False,1.0
0.8,80%,632755,5,6,0.018844507692314286,1000,5000,0.95,0.018844542788030008,0.0038007127875027114,0.011073689726949679,0.02601995181143105,False,1.0
0.8,80%,632755,5,6,0.018844507692314286,500,5000,0.95,0.01877897177891879,0.0033835578098148156,0.01178467079005025,0.025170732162804067,False,1.0
0.8,80%,632755,5,6,0.018844507692314286,2000,5000,0.95,0.018834687443794695,0.004264672304546496,0.009890757838444359,0.026721927234604877,False,1.0
1.0,100%,790755,1,2,0.05089228556522392,1000,5000,0.95,0.050428049353577135,0.019109756732319037,0.01294402503096428,0.08748671155948026,False,0.9966
1.0,100%,790755,1,2,0.05089228556522392,500,5000,0.95,0.05090031359351066,0.01586516211094664,0.020378316894114668,0.08211272558425173,False,0.9986
1.0,100%,790755,1,2,0.05089228556522392,2000,5000,0.95,0.05064533780204655,0.023491113447616403,0.007213807965659069,0.09861733912311013,False,0.988
1.0,100%,790755,2,3,1.7497026195408623,1000,5000,0.95,1.7494276104210447,0.018803116716813995,1.711946868860386,1.784859331558107,False,1.0
1.0,100%,790755,2,3,1.7497026195408623,500,5000,0.95,1.7491742456059285,0.015496301851639858,1.7189068290763792,1.7788828537829977,False,1.0
1.0,100%,790755,2,3,1.7497026195408623,2000,5000,0.95,1.7502126955069566,0.02456967966781887,1.7007045494159632,1.7972283406437803,False,1.0
1.0,100%,790755,3,4,0.8265061259345307,1000,5000,0.95,0.8262240654852893,0.022545810242150806,0.7810808649898165,0.8694871387577218,False,1.0
1.0,100%,790755,3,4,0.8265061259345307,500,5000,0.95,0.8263683052692351,0.01758851284023871,0.7921115307829564,0.8603183923179247,False,1.0
1.0,100%,790755,3,4,0.8265061259345307,2000,5000,0.95,0.8266256036159008,0.030263259466492394,0.7660912839067365,0.8845862809365205,False,1.0
1.0,100%,790755,4,5,0.14161544333225531,1000,5000,0.95,0.14139286908312654,0.008192951637984915,0.12543686067350676,0.15748471714114237,False,1.0
1.0,100%,790755,4,5,0.14161544333225531,500,5000,0.95,0.1416227983353889,0.006623193695588229,0.129094340097121,0.15512507564167677,False,1.0
1.0,100%,790755,4,5,0.14161544333225531,2000,5000,0.95,0.1416262717209288,0.009766611279296369,0.12286787602323403,0.16087586128449155,False,1.0
1.0,100%,790755,5,6,0.02305382865805349,1000,5000,0.95,0.023045656789895133,0.004138839146569687,0.014326384544980949,0.031035260245953697,False,1.0
1.0,100%,790755,5,6,0.02305382865805349,500,5000,0.95,0.023091804635850113,0.003552245187130069,0.015851398695931954,0.029812125529454638,False,1.0
1.0,100%,790755,5,6,0.02305382865805349,2000,5000,0.95,0.023114849620380473,0.004567113540268628,0.013536696543760727,0.03157450976790284,False,1.0
