analysis,fixed_variable,fixed_value,n_observations,expected_direction,monotonic,spearman_rho,x_values,y_values
S_k_vs_history_length,training_subset,10%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,0.0372777841132,0.502321097892,0.889884844407,0.974721671496,0.989937026907"
S_k_vs_history_length,training_subset,100%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,1.0127043764e-05,0.272125376819,0.740977089786,0.939919323608,0.980921453991"
S_k_vs_history_length,training_subset,20%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,0.0216545659584,0.429003576774,0.854093927352,0.96937751004,0.988512181159"
S_k_vs_history_length,training_subset,40%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,0.00937012962329,0.361270008371,0.813557761893,0.962241370545,0.987166846893"
S_k_vs_history_length,training_subset,5%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,0.0609109109109,0.565956913828,0.911183550652,0.978012048193,0.990502512563"
S_k_vs_history_length,training_subset,80%,6,nondecreasing,True,1.0,"0,1,2,3,4,5","0,0.00187463812365,0.29285229038,0.759645624358,0.945908035727,0.982415540272"
S_k_vs_training_size,history_length,1,6,nonincreasing,True,-1.0,"40000,79000,158000,316000,632755,790755","0.0609109109109,0.0372777841132,0.0216545659584,0.00937012962329,0.00187463812365,1.0127043764e-05"
S_k_vs_training_size,history_length,2,6,nonincreasing,True,-1.0,"40000,79000,158000,316000,632755,790755","0.565956913828,0.502321097892,0.429003576774,0.361270008371,0.29285229038,0.272125376819"
S_k_vs_training_size,history_length,3,6,nonincreasing,True,-1.0,"40000,79000,158000,316000,632755,790755","0.911183550652,0.889884844407,0.854093927352,0.813557761893,0.759645624358,0.740977089786"
S_k_vs_training_size,history_length,4,6,nonincreasing,True,-1.0,"40000,79000,158000,316000,632755,790755","0.978012048193,0.974721671496,0.96937751004,0.962241370545,0.945908035727,0.939919323608"
S_k_vs_training_size,history_length,5,6,nonincreasing,True,-1.0,"40000,79000,158000,316000,632755,790755","0.990502512563,0.989937026907,0.988512181159,0.987166846893,0.982415540272,0.980921453991"
