training_fraction,training_subset,training_tokens,from_order,to_order,selected_lambda_high,interpolated_delta_H,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_negative,fraction_bootstrap_positive
0.05,5%,40000,1,2,0.3,-0.18232471036068457,1000,5000,0.95,-0.18225965419214904,0.004198304584835323,-0.1906432055890387,-0.1743876485854017,False,1.0,0.0
0.05,5%,40000,1,2,0.3,-0.18232471036068457,500,5000,0.95,-0.1822940920714669,0.003704879216263194,-0.18982604632194303,-0.17522220635623748,False,1.0,0.0
0.05,5%,40000,1,2,0.3,-0.18232471036068457,2000,5000,0.95,-0.18230928388894144,0.004752922538330189,-0.19188588657774083,-0.17303996213602743,False,1.0,0.0
0.05,5%,40000,2,3,0.2,-0.03250393844211828,1000,5000,0.95,-0.03250336706808377,0.0015643371741696835,-0.03567250223140306,-0.02940492741982082,False,1.0,0.0
0.05,5%,40000,2,3,0.2,-0.03250393844211828,500,5000,0.95,-0.03247556640072799,0.0012933844370497114,-0.034974279694444985,-0.029952409929309316,False,1.0,0.0
0.05,5%,40000,2,3,0.2,-0.03250393844211828,2000,5000,0.95,-0.03246225871804622,0.0019517150628221966,-0.03637638145037858,-0.02873239126373774,False,1.0,0.0
0.05,5%,40000,3,4,0.5,-0.03318079745619363,1000,5000,0.95,-0.03316185269492719,0.0007771610393386176,-0.034717095379339334,-0.03167520333819911,False,1.0,0.0
0.05,5%,40000,3,4,0.5,-0.03318079745619363,500,5000,0.95,-0.033184924738578626,0.00073615542834926,-0.03464581089576831,-0.031741400395004726,False,1.0,0.0
0.05,5%,40000,3,4,0.5,-0.03318079745619363,2000,5000,0.95,-0.03315670361505626,0.0008227266630213878,-0.03475188163810248,-0.0315574512497192,False,1.0,0.0
0.05,5%,40000,4,5,0.1,-0.00010455027400062989,1000,5000,0.95,-0.00010460582485652723,3.8189747212406935e-05,-0.00017316111459236163,-2.257431812258868e-05,False,0.9938,0.0062
0.05,5%,40000,4,5,0.1,-0.00010455027400062989,500,5000,0.95,-0.00010474531860020874,3.6297706469454336e-05,-0.00017212050635263023,-2.8247725387022163e-05,False,0.9946,0.0054
0.05,5%,40000,4,5,0.1,-0.00010455027400062989,2000,5000,0.95,-0.0001044468300426999,3.89668939616522e-05,-0.00017532865807809995,-2.2781759687614595e-05,False,0.9932,0.0068
0.05,5%,40000,5,6,0.1,-6.379919556823861e-05,1000,5000,0.95,-6.445903925494954e-05,3.517818498021336e-05,-0.00014005961381568084,-3.082259091444465e-06,False,0.9806,0.0194
0.05,5%,40000,5,6,0.1,-6.379919556823861e-05,500,5000,0.95,-6.45560397795865e-05,3.516394983647919e-05,-0.00014139045281686446,-8.671134175752228e-07,False,0.9774,0.0226
0.05,5%,40000,5,6,0.1,-6.379919556823861e-05,2000,5000,0.95,-6.329615467649318e-05,3.621662680295582e-05,-0.00014032327137239402,4.2627764540377474e-07,True,0.9738,0.0262
0.1,10%,79000,1,2,0.4,-0.18073290037710737,1000,5000,0.95,-0.18074252466351517,0.007598125200956351,-0.19560780369475622,-0.16558555318119184,False,1.0,0.0
0.1,10%,79000,1,2,0.4,-0.18073290037710737,500,5000,0.95,-0.1807082374606976,0.006128572785660237,-0.19265206512682967,-0.16867440087613014,False,1.0,0.0
0.1,10%,79000,1,2,0.4,-0.18073290037710737,2000,5000,0.95,-0.1808328337128416,0.009561321851520628,-0.1988953507155621,-0.16168153180464515,False,1.0,0.0
0.1,10%,79000,2,3,0.2,-0.045004799149771395,1000,5000,0.95,-0.04500646956242602,0.002635184450138968,-0.05017160350157389,-0.039760742075731235,False,1.0,0.0
0.1,10%,79000,2,3,0.2,-0.045004799149771395,500,5000,0.95,-0.044994461345578836,0.00205049285720344,-0.04903725196435151,-0.04092889848491559,False,1.0,0.0
0.1,10%,79000,2,3,0.2,-0.045004799149771395,2000,5000,0.95,-0.044983194172133915,0.003446230378558758,-0.05199160796693317,-0.03845455762349866,False,1.0,0.0
0.1,10%,79000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.1,10%,79000,3,4,0.0,0.0,500,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.1,10%,79000,3,4,0.0,0.0,2000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.1,10%,79000,4,5,0.2,-0.0005219200793128402,1000,5000,0.95,-0.0005233992536081224,9.33255401055366e-05,-0.0006922977412170561,-0.0003293325411282192,False,1.0,0.0
0.1,10%,79000,4,5,0.2,-0.0005219200793128402,500,5000,0.95,-0.000521850527350846,9.0400063167992e-05,-0.0006866516152050858,-0.0003314190987684409,False,1.0,0.0
0.1,10%,79000,4,5,0.2,-0.0005219200793128402,2000,5000,0.95,-0.0005228438807399455,9.651332865612169e-05,-0.0007026281324608778,-0.00032803357964412353,False,1.0,0.0
0.1,10%,79000,5,6,0.2,-9.553190006211882e-05,1000,5000,0.95,-9.560162013735018e-05,7.313046755735778e-05,-0.00025218240512877254,3.5586128145102854e-05,True,0.9154,0.0846
0.1,10%,79000,5,6,0.2,-9.553190006211882e-05,500,5000,0.95,-9.408638451185029e-05,7.162635119234031e-05,-0.00024642886385167794,3.632195129422643e-05,True,0.9112,0.0888
0.1,10%,79000,5,6,0.2,-9.553190006211882e-05,2000,5000,0.95,-9.558761491347831e-05,7.86912875029643e-05,-0.00026472149913528203,4.567679862343764e-05,True,0.8976,0.1024
0.2,20%,158000,1,2,0.4,-0.2623997754404888,1000,5000,0.95,-0.26239173157219037,0.007722263595504618,-0.27750928723179125,-0.24726630464930482,False,1.0,0.0
0.2,20%,158000,1,2,0.4,-0.2623997754404888,500,5000,0.95,-0.26230328282323323,0.006514459864024595,-0.2751891747129925,-0.24996278549146503,False,1.0,0.0
0.2,20%,158000,1,2,0.4,-0.2623997754404888,2000,5000,0.95,-0.2622909835155915,0.009897674188024102,-0.2809532303145811,-0.24236750928711154,False,1.0,0.0
0.2,20%,158000,2,3,0.2,-0.06589992153871578,1000,5000,0.95,-0.06597581229504212,0.0031474771396582226,-0.07217079918419426,-0.05993474558381419,False,1.0,0.0
0.2,20%,158000,2,3,0.2,-0.06589992153871578,500,5000,0.95,-0.06595576429224648,0.002470708013095816,-0.07084161260965446,-0.061093552548507415,False,1.0,0.0
0.2,20%,158000,2,3,0.2,-0.06589992153871578,2000,5000,0.95,-0.06591945791258699,0.004073640218052467,-0.07395107332819076,-0.05811562062771847,False,1.0,0.0
0.2,20%,158000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.2,20%,158000,3,4,0.0,0.0,500,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.2,20%,158000,3,4,0.0,0.0,2000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.2,20%,158000,4,5,0.3,-0.0014536727008399196,1000,5000,0.95,-0.0014515314336177867,0.0001878927085446386,-0.0017977870162513606,-0.0010619535156568733,False,1.0,0.0
0.2,20%,158000,4,5,0.3,-0.0014536727008399196,500,5000,0.95,-0.0014493856817014076,0.00017490431711148963,-0.001779638873264043,-0.0010919598973017112,False,1.0,0.0
0.2,20%,158000,4,5,0.3,-0.0014536727008399196,2000,5000,0.95,-0.0014534489959938278,0.0001826520775441008,-0.0017944491031897838,-0.0010864777314621213,False,1.0,0.0
0.2,20%,158000,5,6,0.2,-0.0012486849391938842,1000,5000,0.95,-0.0012519840396921203,0.0009526148278785631,-0.003399992941760856,-4.77256650613526e-05,False,0.9912,0.0088
0.2,20%,158000,5,6,0.2,-0.0012486849391938842,500,5000,0.95,-0.0012452242227125505,0.0009067830271658535,-0.0033287150761751655,-7.083537125260554e-05,False,0.993,0.007
0.2,20%,158000,5,6,0.2,-0.0012486849391938842,2000,5000,0.95,-0.0012339408782801667,0.0009875517289794082,-0.003464312047460348,-1.909152999790973e-05,False,0.9836,0.0164
0.4,40%,316000,1,2,0.5,-0.3461804098643803,1000,5000,0.95,-0.3462085795677447,0.009263883537778348,-0.3640992726529776,-0.32835412885850584,False,1.0,0.0
0.4,40%,316000,1,2,0.5,-0.3461804098643803,500,5000,0.95,-0.34625918938619626,0.007653201208859903,-0.36182485012896853,-0.33122661002836074,False,1.0,0.0
0.4,40%,316000,1,2,0.5,-0.3461804098643803,2000,5000,0.95,-0.3460459851278446,0.01121399774324859,-0.3681234424112252,-0.3243094684020961,False,1.0,0.0
0.4,40%,316000,2,3,0.2,-0.07948127321195872,1000,5000,0.95,-0.07944896038834877,0.0034739028442754764,-0.08640123680076517,-0.07289013522887072,False,1.0,0.0
0.4,40%,316000,2,3,0.2,-0.07948127321195872,500,5000,0.95,-0.07947072292668521,0.00275694231812369,-0.08484974157243667,-0.07404808466574911,False,1.0,0.0
0.4,40%,316000,2,3,0.2,-0.07948127321195872,2000,5000,0.95,-0.07943795848932277,0.004426172280119268,-0.08803819820330873,-0.07080334075747871,False,1.0,0.0
0.4,40%,316000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.4,40%,316000,3,4,0.0,0.0,500,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.4,40%,316000,3,4,0.0,0.0,2000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.4,40%,316000,4,5,0.4,-0.003518028484284681,1000,5000,0.95,-0.0035126863246633137,0.0003177935451704805,-0.00413469211767223,-0.002885766437569227,False,1.0,0.0
0.4,40%,316000,4,5,0.4,-0.003518028484284681,500,5000,0.95,-0.0035164417752323062,0.00029986197934257,-0.00409005777963344,-0.002901952413084412,False,1.0,0.0
0.4,40%,316000,4,5,0.4,-0.003518028484284681,2000,5000,0.95,-0.0035093851468542326,0.00033235104004244597,-0.004141698073072686,-0.0028400877336437727,False,1.0,0.0
0.4,40%,316000,5,6,0.2,-0.0015289165016177458,1000,5000,0.95,-0.0014941403995591134,0.0010466508640822687,-0.003938831799796476,-7.024387812345049e-06,False,0.9786,0.0214
0.4,40%,316000,5,6,0.2,-0.0015289165016177458,500,5000,0.95,-0.001523779426513746,0.0010062984498881297,-0.003865664879409488,-3.288162541835524e-05,False,0.9844,0.0156
0.4,40%,316000,5,6,0.2,-0.0015289165016177458,2000,5000,0.95,-0.001534445091839519,0.001120860747224963,-0.004065520545610434,1.6983433992960076e-05,True,0.9656,0.0344
0.8,80%,632755,1,2,0.6,-0.43346226384690456,1000,5000,0.95,-0.43358170601247287,0.010195039924514851,-0.4536199192208386,-0.41336910521336273,False,1.0,0.0
0.8,80%,632755,1,2,0.6,-0.43346226384690456,500,5000,0.95,-0.4334134441061229,0.00861002816895695,-0.4506352505746285,-0.41686921880392386,False,1.0,0.0
0.8,80%,632755,1,2,0.6,-0.43346226384690456,2000,5000,0.95,-0.43322610950199086,0.012299406461380365,-0.45702649717717925,-0.40884347159826906,False,1.0,0.0
0.8,80%,632755,2,3,0.2,-0.09080794983643103,1000,5000,0.95,-0.09078972939282466,0.0036367009463947665,-0.0979948011279741,-0.08360926070551472,False,1.0,0.0
0.8,80%,632755,2,3,0.2,-0.09080794983643103,500,5000,0.95,-0.09080118971463146,0.0029531810149936383,-0.09657347259932153,-0.0849658857415854,False,1.0,0.0
0.8,80%,632755,2,3,0.2,-0.09080794983643103,2000,5000,0.95,-0.09068360368541278,0.004665545749079235,-0.0999971195474309,-0.08150889994127819,False,1.0,0.0
0.8,80%,632755,3,4,0.1,-0.00281340476350086,1000,5000,0.95,-0.002830857902781723,0.0016766612857272766,-0.006720710164510051,-0.0003680598098446848,False,0.9952,0.0048
0.8,80%,632755,3,4,0.1,-0.00281340476350086,500,5000,0.95,-0.0028097560107972603,0.001479329222799282,-0.0061517759433767655,-0.0004270184611163103,False,0.9966,0.0034
0.8,80%,632755,3,4,0.1,-0.00281340476350086,2000,5000,0.95,-0.0028067457253564683,0.0017941786821541598,-0.007039794016771384,-0.00024898614333247504,False,0.9934,0.0066
0.8,80%,632755,4,5,0.4,-0.007401136802277335,1000,5000,0.95,-0.007397031194027665,0.0004185308160553771,-0.008187189717211864,-0.0065530933930647494,False,1.0,0.0
0.8,80%,632755,4,5,0.4,-0.007401136802277335,500,5000,0.95,-0.007397446755309808,0.00041639342195436303,-0.00821679211575354,-0.0065658309957723725,False,1.0,0.0
0.8,80%,632755,4,5,0.4,-0.007401136802277335,2000,5000,0.95,-0.007398914327440273,0.0004250993002450228,-0.00822847258176755,-0.006555072938097661,False,1.0,0.0
0.8,80%,632755,5,6,0.2,-0.002354821741031981,1000,5000,0.95,-0.0023286788718024044,0.0016103831758082754,-0.006039662784292426,-7.038662368923094e-05,False,0.9918,0.0082
0.8,80%,632755,5,6,0.2,-0.002354821741031981,500,5000,0.95,-0.0023642478800414866,0.0014262709418204087,-0.005555140456052601,-0.0001225415996309135,False,0.9952,0.0048
0.8,80%,632755,5,6,0.2,-0.002354821741031981,2000,5000,0.95,-0.0023481800338526026,0.0018164689251605544,-0.006532682904097725,-1.5675478874289098e-05,False,0.981,0.019
1.0,100%,790755,1,2,0.6,-0.4612079563306515,1000,5000,0.95,-0.4611465028192236,0.010449981122987475,-0.48159123001016746,-0.44086346606690696,False,1.0,0.0
1.0,100%,790755,1,2,0.6,-0.4612079563306515,500,5000,0.95,-0.461165168057352,0.008609470259269211,-0.4783988250035851,-0.4444194117943562,False,1.0,0.0
1.0,100%,790755,1,2,0.6,-0.4612079563306515,2000,5000,0.95,-0.4611482558902382,0.012549117964148879,-0.4856412710971293,-0.4365136420465097,False,1.0,0.0
1.0,100%,790755,2,3,0.2,-0.09343292423377803,1000,5000,0.95,-0.0934385652750215,0.003774956664039342,-0.10072368595202308,-0.08605248143389507,False,1.0,0.0
1.0,100%,790755,2,3,0.2,-0.09343292423377803,500,5000,0.95,-0.0934409295858983,0.0030299124286707817,-0.09934296133102208,-0.08729159740118406,False,1.0,0.0
1.0,100%,790755,2,3,0.2,-0.09343292423377803,2000,5000,0.95,-0.09355353002775907,0.004736053999473471,-0.10293626920401666,-0.0840824623608209,False,1.0,0.0
1.0,100%,790755,3,4,0.1,-0.0035519285043751955,1000,5000,0.95,-0.0035610524347617725,0.0017115997359005862,-0.007624285107146298,-0.0010459022584624448,False,1.0,0.0
1.0,100%,790755,3,4,0.1,-0.0035519285043751955,500,5000,0.95,-0.0035685105584861584,0.00150045033968285,-0.006973268284471205,-0.0012121793192362462,False,1.0,0.0
1.0,100%,790755,3,4,0.1,-0.0035519285043751955,2000,5000,0.95,-0.0035122567984714067,0.0017976382564972,-0.007615990409119702,-0.0009371327419838126,False,1.0,0.0
1.0,100%,790755,4,5,0.4,-0.008919501866683468,1000,5000,0.95,-0.008928348289364018,0.00047922069006416573,-0.009859612436764755,-0.007962040652901533,False,1.0,0.0
1.0,100%,790755,4,5,0.4,-0.008919501866683468,500,5000,0.95,-0.008929428868396231,0.00045567400056323337,-0.009831364882924624,-0.008011433741485384,False,1.0,0.0
1.0,100%,790755,4,5,0.4,-0.008919501866683468,2000,5000,0.95,-0.008930357101657224,0.0005059145456397415,-0.009927575700167692,-0.007927286149644596,False,1.0,0.0
1.0,100%,790755,5,6,0.2,-0.002331325909249162,1000,5000,0.95,-0.002332109564941801,0.0016428694749966249,-0.006135091452478067,-4.250988164481496e-05,False,0.9856,0.0144
1.0,100%,790755,5,6,0.2,-0.002331325909249162,500,5000,0.95,-0.00226750014164972,0.0013925141551044873,-0.00542997430918988,-0.00010645940482623012,False,0.9904,0.0096
1.0,100%,790755,5,6,0.2,-0.002331325909249162,2000,5000,0.95,-0.002333500149013679,0.0017923758895609634,-0.006473841109094019,9.869642732650729e-06,True,0.971,0.029
