training_fraction,training_subset,training_tokens,from_order,to_order,selected_lambda_high,interpolated_delta_H,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_negative,fraction_bootstrap_positive
0.05,5%,40000,1,2,0.3,-0.18232471036068457,1000,5000,0.95,-0.18225965419214904,0.004198304584835323,-0.1906432055890387,-0.1743876485854017,False,1.0,0.0
0.05,5%,40000,2,3,0.2,-0.03250393844211828,1000,5000,0.95,-0.03250336706808377,0.0015643371741696835,-0.03567250223140306,-0.02940492741982082,False,1.0,0.0
0.05,5%,40000,3,4,0.5,-0.03318079745619363,1000,5000,0.95,-0.03316185269492719,0.0007771610393386176,-0.034717095379339334,-0.03167520333819911,False,1.0,0.0
0.05,5%,40000,4,5,0.1,-0.00010455027400062989,1000,5000,0.95,-0.00010460582485652723,3.8189747212406935e-05,-0.00017316111459236163,-2.257431812258868e-05,False,0.9938,0.0062
0.05,5%,40000,5,6,0.1,-6.379919556823861e-05,1000,5000,0.95,-6.445903925494954e-05,3.517818498021336e-05,-0.00014005961381568084,-3.082259091444465e-06,False,0.9806,0.0194
0.1,10%,79000,1,2,0.4,-0.18073290037710737,1000,5000,0.95,-0.18074252466351517,0.007598125200956351,-0.19560780369475622,-0.16558555318119184,False,1.0,0.0
0.1,10%,79000,2,3,0.2,-0.045004799149771395,1000,5000,0.95,-0.04500646956242602,0.002635184450138968,-0.05017160350157389,-0.039760742075731235,False,1.0,0.0
0.1,10%,79000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.1,10%,79000,4,5,0.2,-0.0005219200793128402,1000,5000,0.95,-0.0005233992536081224,9.33255401055366e-05,-0.0006922977412170561,-0.0003293325411282192,False,1.0,0.0
0.1,10%,79000,5,6,0.2,-9.553190006211882e-05,1000,5000,0.95,-9.560162013735018e-05,7.313046755735778e-05,-0.00025218240512877254,3.5586128145102854e-05,True,0.9154,0.0846
0.2,20%,158000,1,2,0.4,-0.2623997754404888,1000,5000,0.95,-0.26239173157219037,0.007722263595504618,-0.27750928723179125,-0.24726630464930482,False,1.0,0.0
0.2,20%,158000,2,3,0.2,-0.06589992153871578,1000,5000,0.95,-0.06597581229504212,0.0031474771396582226,-0.07217079918419426,-0.05993474558381419,False,1.0,0.0
0.2,20%,158000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.2,20%,158000,4,5,0.3,-0.0014536727008399196,1000,5000,0.95,-0.0014515314336177867,0.0001878927085446386,-0.0017977870162513606,-0.0010619535156568733,False,1.0,0.0
0.2,20%,158000,5,6,0.2,-0.0012486849391938842,1000,5000,0.95,-0.0012519840396921203,0.0009526148278785631,-0.003399992941760856,-4.77256650613526e-05,False,0.9912,0.0088
0.4,40%,316000,1,2,0.5,-0.3461804098643803,1000,5000,0.95,-0.3462085795677447,0.009263883537778348,-0.3640992726529776,-0.32835412885850584,False,1.0,0.0
0.4,40%,316000,2,3,0.2,-0.07948127321195872,1000,5000,0.95,-0.07944896038834877,0.0034739028442754764,-0.08640123680076517,-0.07289013522887072,False,1.0,0.0
0.4,40%,316000,3,4,0.0,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0
0.4,40%,316000,4,5,0.4,-0.003518028484284681,1000,5000,0.95,-0.0035126863246633137,0.0003177935451704805,-0.00413469211767223,-0.002885766437569227,False,1.0,0.0
0.4,40%,316000,5,6,0.2,-0.0015289165016177458,1000,5000,0.95,-0.0014941403995591134,0.0010466508640822687,-0.003938831799796476,-7.024387812345049e-06,False,0.9786,0.0214
0.8,80%,632755,1,2,0.6,-0.43346226384690456,1000,5000,0.95,-0.43358170601247287,0.010195039924514851,-0.4536199192208386,-0.41336910521336273,False,1.0,0.0
0.8,80%,632755,2,3,0.2,-0.09080794983643103,1000,5000,0.95,-0.09078972939282466,0.0036367009463947665,-0.0979948011279741,-0.08360926070551472,False,1.0,0.0
0.8,80%,632755,3,4,0.1,-0.00281340476350086,1000,5000,0.95,-0.002830857902781723,0.0016766612857272766,-0.006720710164510051,-0.0003680598098446848,False,0.9952,0.0048
0.8,80%,632755,4,5,0.4,-0.007401136802277335,1000,5000,0.95,-0.007397031194027665,0.0004185308160553771,-0.008187189717211864,-0.0065530933930647494,False,1.0,0.0
0.8,80%,632755,5,6,0.2,-0.002354821741031981,1000,5000,0.95,-0.0023286788718024044,0.0016103831758082754,-0.006039662784292426,-7.038662368923094e-05,False,0.9918,0.0082
1.0,100%,790755,1,2,0.6,-0.4612079563306515,1000,5000,0.95,-0.4611465028192236,0.010449981122987475,-0.48159123001016746,-0.44086346606690696,False,1.0,0.0
1.0,100%,790755,2,3,0.2,-0.09343292423377803,1000,5000,0.95,-0.0934385652750215,0.003774956664039342,-0.10072368595202308,-0.08605248143389507,False,1.0,0.0
1.0,100%,790755,3,4,0.1,-0.0035519285043751955,1000,5000,0.95,-0.0035610524347617725,0.0017115997359005862,-0.007624285107146298,-0.0010459022584624448,False,1.0,0.0
1.0,100%,790755,4,5,0.4,-0.008919501866683468,1000,5000,0.95,-0.008928348289364018,0.00047922069006416573,-0.009859612436764755,-0.007962040652901533,False,1.0,0.0
1.0,100%,790755,5,6,0.2,-0.002331325909249162,1000,5000,0.95,-0.002332109564941801,0.0016428694749966249,-0.006135091452478067,-4.250988164481496e-05,False,0.9856,0.0144
