training_fraction,training_subset,training_tokens,from_order,to_order,selected_alpha_previous,selected_alpha_current,selected_lambda_high,test_cross_entropy_previous,test_cross_entropy_current,interpolation_test_cross_entropy,interpolation_test_perplexity,original_delta_H,interpolated_delta_H_test,improvement_vs_original_high_test,test_N,interpolated_delta_H_bootstrap,block_length,bootstrap_replicates,confidence_level,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,contains_zero,fraction_bootstrap_negative,fraction_bootstrap_positive,interpolated_delta_H,classification,delta_H_reduction
0.05,5%,40000,1,2,0.1,0.01,0.3,6.8509875697279,7.992681008360423,6.668662859367217,787.3421131551798,1.1416934386325224,-0.1823247103606835,1.324018148993206,98840,-0.1823247103606845,1000,5000,0.95,-0.182259654192149,0.0041983045848353,-0.1906432055890387,-0.1743876485854017,False,1.0,0.0,-0.1823247103606835,clear_benefit,1.324018148993206
0.05,5%,40000,2,3,0.01,0.001,0.2,7.992681008360423,9.32285339600914,7.960177069918304,2864.5801385725495,1.3301723876487177,-0.0325039384421188,1.3626763260908366,98840,-0.0325039384421182,1000,5000,0.95,-0.0325033670680837,0.0015643371741696,-0.035672502231403,-0.0294049274198208,False,1.0,0.0,-0.0325039384421188,clear_benefit,1.3626763260908366
0.05,5%,40000,3,4,0.001,0.001,0.5,9.32285339600914,9.511091905834716,9.289672598552947,10825.6391883809,0.1882385098255756,-0.0331807974561932,0.2214193072817689,98840,-0.0331807974561936,1000,5000,0.95,-0.0331618526949271,0.0007771610393386,-0.0347170953793393,-0.0316752033381991,False,1.0,0.0,-0.0331807974561932,clear_benefit,0.2214193072817688
0.05,5%,40000,4,5,0.001,0.001,0.1,9.511091905834716,9.533276272189688,9.510987355560715,13507.32426644068,0.0221843663549723,-0.0001045502739991,0.0222889166289714,98840,-0.0001045502740006,1000,5000,0.95,-0.0001046058248565,3.8189747212406935e-05,-0.0001731611145923,-2.257431812258868e-05,False,0.9938,0.0062,-0.0001045502739991,clear_benefit,0.022288916628971398
0.05,5%,40000,5,6,0.001,0.0001,0.1,9.533276272189688,9.538790620301947,9.53321247299412,13810.886997702806,0.0055143481122605,-6.3799195569203e-05,0.0055781473078297,98840,-6.379919556823861e-05,1000,5000,0.95,-6.445903925494954e-05,3.517818498021336e-05,-0.0001400596138156,-3.082259091444465e-06,False,0.9806,0.0194,-6.3799195569203e-05,clear_benefit,0.005578147307829703
0.1,10%,79000,1,2,1.0,0.01,0.4,6.788735669669117,7.685388478920591,6.608002769292009,741.0015887026811,0.8966528092514743,-0.1807329003771078,1.0773857096285822,98840,-0.1807329003771073,1000,5000,0.95,-0.1807425246635151,0.0075981252009563,-0.1956078036947562,-0.1655855531811918,False,1.0,0.0,-0.1807329003771078,clear_benefit,1.0773857096285822
0.1,10%,79000,2,3,0.01,0.01,0.2,7.685388478920591,9.199539310532172,7.640383679770818,2080.5419253015684,1.5141508316115813,-0.0450047991497726,1.559155630761354,98840,-0.0450047991497713,1000,5000,0.95,-0.045006469562426,0.0026351844501389,-0.0501716035015738,-0.0397607420757312,False,1.0,0.0,-0.0450047991497726,clear_benefit,1.5591556307613539
0.1,10%,79000,3,4,0.01,0.001,0.0,9.199539310532172,9.4957045008156,9.199539310532172,9892.57060572109,0.2961651902834283,0.0,0.2961651902834283,98840,0.0,1000,5000,0.95,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,exact_fallback,0.2961651902834283
0.1,10%,79000,4,5,0.001,0.001,0.2,9.4957045008156,9.52976539542854,9.495182580736287,13295.522198756798,0.0340608946129386,-0.0005219200793113,0.03458281469225,98840,-0.0005219200793128,1000,5000,0.95,-0.0005233992536081,9.33255401055366e-05,-0.000692297741217,-0.0003293325411282,False,1.0,0.0,-0.0005219200793113,clear_benefit,0.0345828146922499
0.1,10%,79000,5,6,0.001,0.0001,0.2,9.52976539542854,9.53752653343888,9.529669863528476,13762.046980328576,0.0077611380103395,-9.553190006350576e-05,0.007856669910403,98840,-9.553190006211882e-05,1000,5000,0.95,-9.560162013735018e-05,7.313046755735778e-05,-0.0002521824051287,3.5586128145102854e-05,True,0.9154,0.0846,-9.553190006350576e-05,uncertain,0.007856669910403007
