training_fraction,training_subset,training_tokens,from_order,to_order,selected_alpha_previous,selected_alpha_current,selected_lambda_high,validation_cross_entropy_previous,validation_cross_entropy_current,selected_interpolation_validation_cross_entropy,selected_interpolation_validation_perplexity,delta_vs_lower_validation,improvement_vs_original_high_validation,validation_N
0.05,5%,40000,1,2,0.1,0.01,0.3,6.794984068763626,7.858334588073693,6.576317869235049,717.8910877953294,-0.21866619952857747,1.2820167188386442,98839
0.05,5%,40000,2,3,0.01,0.001,0.2,7.858334588073693,9.258683851165173,7.825341250922964,2503.240198130909,-0.03299333715072894,1.4333426002422094,98839
0.05,5%,40000,3,4,0.001,0.001,0.5,9.258683851165173,9.497415596095442,9.225926954879318,10157.086872581229,-0.03275689628585532,0.2714886412161235,98839
0.05,5%,40000,4,5,0.001,0.001,0.1,9.497415596095442,9.530559729887337,9.497345041571021,13324.30435371433,-7.05545244201744e-05,0.03321468831631513,98839
0.05,5%,40000,5,6,0.001,0.0001,0.1,9.530559729887337,9.538550169614197,9.530499304775091,13773.466524997912,-6.042511224535474e-05,0.008050864839105998,98839
0.1,10%,79000,1,2,1.0,0.01,0.4,6.718981903259998,7.516292388247013,6.495768362923777,662.3329419209888,-0.22321354033622054,1.020524025323236,98839
0.1,10%,79000,2,3,0.01,0.01,0.2,7.516292388247013,9.12080046533695,7.4778829613804,1768.4928424260931,-0.03840942686661286,1.64291750395655,98839
0.1,10%,79000,3,4,0.01,0.001,0.0,9.12080046533695,9.47678007273666,9.12080046533695,9143.517756897802,0.0,0.3559796073997088,98839
0.1,10%,79000,4,5,0.001,0.001,0.2,9.47678007273666,9.525740335788106,9.476293820340027,13046.743225488906,-0.00048625239663202535,0.04944651544807854,98839
0.1,10%,79000,5,6,0.001,0.0001,0.2,9.525740335788106,9.536820507968482,9.525633761472179,13706.613896255669,-0.00010657431592697719,0.011186746496303357,98839
0.2,20%,158000,1,2,1.0,0.01,0.4,6.676239975841914,7.21722092749542,6.37319984353226,585.929715833013,-0.3030401323096541,0.8440210839631606,98839
0.2,20%,158000,2,3,0.01,0.01,0.2,7.21722092749542,8.930701158754005,7.158488124892874,1284.9667543492415,-0.05873280260254621,1.7722130338611306,98839
0.2,20%,158000,3,4,0.01,0.001,0.0,8.930701158754005,9.43886794064349,8.930701158754005,7560.564674315401,0.0,0.5081667818894857,98839
0.2,20%,158000,4,5,0.001,0.001,0.3,9.43886794064349,9.515386419409898,9.437365872474755,12548.618671355316,-0.0015020681687349935,0.07802054693514293,98839
0.2,20%,158000,5,6,0.001,0.0001,0.2,9.515386419409898,9.531601997395928,9.515057084728255,13562.407428732204,-0.00032933468164308977,0.016544912667672662,98839
0.4,40%,316000,1,2,1.0,0.01,0.5,6.6524720033919635,6.934565118714918,6.261438000889366,523.9718706368488,-0.39103400250259757,0.673127117825552,98839
0.4,40%,316000,2,3,0.01,0.01,0.2,6.934565118714918,8.707801993305058,6.86122467880246,954.5353511698119,-0.07334043991245842,1.846577314502598,98839
0.4,40%,316000,3,4,0.01,0.001,0.0,8.707801993305058,9.390947395197747,8.707801993305058,6049.930076199113,0.0,0.6831454018926895,98839
0.4,40%,316000,4,5,0.001,0.001,0.4,9.390947395197747,9.503805017006382,9.387176856885862,11934.359323874343,-0.003770538311885119,0.11662816012051991,98839
0.4,40%,316000,5,6,0.001,0.0001,0.2,9.503805017006382,9.526861994056528,9.503384068902289,13405.01364940998,-0.0004209481040930996,0.023477925154239188,98839
0.8,80%,632755,1,2,1.0,0.01,0.6,6.641602202740756,6.6888365873853495,6.167919975338369,477.1925009156145,-0.47368222740238775,0.5209166120469808,98839
0.8,80%,632755,2,3,0.01,0.01,0.2,6.6888365873853495,8.455936613101176,6.602652888039911,737.0479034986207,-0.08618369934543857,1.8532837250612655,98839
0.8,80%,632755,3,4,0.01,0.001,0.1,8.455936613101176,9.317380812593616,8.454302872490002,4695.232318327271,-0.0016337406111741615,0.8630779401036133,98839
0.8,80%,632755,4,5,0.001,0.001,0.4,9.317380812593616,9.485211996134943,9.310072742012768,11048.75180799119,-0.007308070580847925,0.17513925412217546,98839
0.8,80%,632755,5,6,0.001,0.0001,0.2,9.485211996134943,9.51969711072791,9.484747413508812,13157.502582565901,-0.00046458262613136014,0.034949697219097686,98839
1.0,100%,790755,1,2,1.0,0.01,0.6,6.637920840058516,6.614392794740342,6.136221159415282,462.30329548082125,-0.5016996806432346,0.4781716353250598,98839
1.0,100%,790755,2,3,0.01,0.01,0.2,6.614392794740342,8.369612342136207,6.525413242600507,682.2616549845283,-0.08897955213983444,1.8441990995357003,98839
1.0,100%,790755,3,4,0.01,0.001,0.1,8.369612342136207,9.290344470067863,8.36709945904795,4303.1365200444525,-0.0025128830882579223,0.9232450110199135,98839
1.0,100%,790755,4,5,0.001,0.001,0.4,9.290344470067863,9.479327193224037,9.281303998101544,10735.4217626963,-0.009040471966319075,0.19802319512249333,98839
1.0,100%,790755,5,6,0.001,0.0001,0.2,9.479327193224037,9.518519173771292,9.47886085610288,13080.277705627299,-0.0004663371211570677,0.03965831766841177,98839
