training_fraction,training_subset,training_tokens,n,k,selected_alpha,validation_cross_entropy,N_k,T_k,f_1_k,S_k,D_k,test_cross_entropy,test_perplexity,test_U_k,test_N
0.05,5%,40000,1,0,0.1,6.794984068762625,40000,1,0,0.0,2.5e-05,6.850987569727325,944.8135153134409,0.0,98840
0.05,5%,40000,2,1,0.01,7.85833458807412,39960,4918,2434,0.06091091091091091,0.12307307307307307,7.992681008361757,2959.2200274702936,0.0764872521246459,98840
0.05,5%,40000,3,2,0.001,9.258683851174826,39920,27077,22593,0.5659569138276553,0.6782815631262525,9.322853396021015,11190.868318549377,0.6209429380817483,98840
0.05,5%,40000,4,3,0.001,9.49741559611326,39880,37758,36338,0.9111835506519559,0.94679037111334,9.511091905853544,13508.736534973299,0.9503642250101174,98840
0.05,5%,40000,5,4,0.001,9.530559729907003,39840,39340,38964,0.9780120481927711,0.9874497991967871,9.533276272209548,13811.768149565736,0.9948502630513962,98840
0.05,5%,40000,6,5,0.0001,9.538550169634108,39800,39591,39422,0.9905025125628141,0.994748743718593,9.53879062032188,13888.141428081351,0.9986543909348442,98840
0.1,10%,79000,1,0,1.0,6.718981903259261,79000,1,0,0.0,1.2658227848101267e-05,6.7887356696686885,887.790391631194,0.0,98840
0.1,10%,79000,2,1,0.01,7.516292388247915,78921,6968,2942,0.03727778411322715,0.08829082246803766,7.685388478922141,2176.315262014767,0.04717725617159045,98840
0.1,10%,79000,3,2,0.01,9.120800465345479,78842,48594,39604,0.5023210978919865,0.6163466172852033,9.199539310543273,9892.570605830902,0.5406009712666936,98840
0.1,10%,79000,4,3,0.001,9.476780072753668,78763,73367,70090,0.8898848444066376,0.9314906745553115,9.495704500833854,13302.46321016907,0.9261027923917442,98840
0.1,10%,79000,5,4,0.001,9.525740335807626,78684,77530,76695,0.974721671496111,0.9853337400233847,9.529765395448356,13763.361757898705,0.9921084581141238,98840
0.1,10%,79000,6,5,0.0001,9.53682050798838,78605,78162,77814,0.9899370269066853,0.9943642261942625,9.5375265334588,13870.596702314453,0.9981282881424525,98840
0.2,20%,158000,1,0,1.0,6.67623997584238,158000,1,0,0.0,6.329113924050633e-06,6.742697756938081,847.8449329116366,0.0,98840
0.2,20%,158000,2,1,0.01,7.217220927496386,157842,9444,3418,0.021654565958363427,0.0598319838826168,7.381779193523584,1606.4454039732918,0.023624038850667745,98840
0.2,20%,158000,3,2,0.01,8.930701158760932,157684,85635,67647,0.42900357677380074,0.5430798305471702,9.02296173277544,8291.297359221922,0.4609267503035208,98840
0.2,20%,158000,4,3,0.001,9.438867940659343,157526,142662,134542,0.8540939273516753,0.9056409735535721,9.455387862716714,12776.819898279467,0.8884358559287737,98840
