training_fraction,training_subset,training_tokens,n,k,selected_alpha,validation_cross_entropy,validation_perplexity,validation_U_k,validation_N,N_k,T_k,f_1_k,S_k,D_k
0.05,5%,40000,1,0,0.1,6.794984068762625,893.3550272371493,0.0,98839,40000,1,0,0.0,2.5e-05
0.05,5%,40000,2,1,0.01,7.85833458807412,2587.2080183953317,0.08245732959661672,98839,39960,4918,2434,0.06091091091091091,0.12307307307307307
0.05,5%,40000,3,2,0.001,9.258683851174826,10495.310855169948,0.5994496099717723,98839,39920,27077,22593,0.5659569138276553,0.6782815631262525
0.05,5%,40000,4,3,0.001,9.49741559611326,13325.244477073253,0.9395582715324923,98839,39880,37758,36338,0.9111835506519559,0.94679037111334
0.05,5%,40000,5,4,0.001,9.530559729907003,13774.298813674885,0.9926749562419692,98839,39840,39340,38964,0.9780120481927711,0.9874497991967871
0.05,5%,40000,6,5,0.0001,9.538550169634108,13884.80241637302,0.9982193263792632,98839,39800,39591,39422,0.9905025125628141,0.994748743718593
0.1,10%,79000,1,0,1.0,6.718981903259261,827.9741244719945,0.0,98839,79000,1,0,0.0,1.2658227848101267e-05
0.1,10%,79000,2,1,0.01,7.516292388247915,1837.7410170884089,0.051174131668673295,98839,78921,6968,2942,0.03727778411322715,0.08829082246803766
0.1,10%,79000,3,2,0.01,9.120800465345479,9143.51775697578,0.5131779965398274,98839,78842,48594,39604,0.5023210978919865,0.6163466172852033
0.1,10%,79000,4,3,0.001,9.476780072753668,13053.088778517658,0.910511033094224,98839,78763,73367,70090,0.8898848444066376,0.9314906745553115
0.1,10%,79000,5,4,0.001,9.525740335807626,13708.07474736613,0.9890427867542164,98839,78684,77530,76695,0.974721671496111,0.9853337400233847
0.1,10%,79000,6,5,0.0001,9.53682050798838,13860.807163991052,0.9974706340614534,98839,78605,78162,77814,0.9899370269066853,0.9943642261942625
0.2,20%,158000,1,0,1.0,6.67623997584238,793.3305549618742,0.0,98839,158000,1,0,0.0,6.329113924050633e-06
0.2,20%,158000,2,1,0.01,7.217220927496386,1362.6967605124805,0.025020487864102228,98839,157842,9444,3418,0.021654565958363427,0.0598319838826168
0.2,20%,158000,3,2,0.01,8.930701158760932,7560.564674367779,0.4379951233824705,98839,157684,85635,67647,0.42900357677380074,0.5430798305471702
0.2,20%,158000,4,3,0.001,9.438867940659343,12567.481715464706,0.8712957435829987,98839,157526,142662,134542,0.8540939273516753,0.9056409735535721
0.2,20%,158000,5,4,0.001,9.515386419429163,13566.874735705558,0.9824158479952245,98839,157368,154488,152549,0.9693775100401606,0.9816989476894922
0.2,20%,158000,6,5,0.0001,9.53160199741578,13788.662802043435,0.995922662107063,98839,157210,156157,155404,0.9885121811589593,0.9933019528019846
0.4,40%,316000,1,0,1.0,6.652472003391514,774.6970141211125,0.0,98839,316000,1,0,0.0,3.1645569620253167e-06
0.4,40%,316000,2,1,0.01,6.934565118715525,1027.1724568023155,0.009530650856443307,98839,315684,11902,2958,0.00937012962329418,0.037702259221246565
0.4,40%,316000,3,2,0.01,8.707801993310769,6049.930076233663,0.3646232762371129,98839,315368,149171,113933,0.36127000837117274,0.4730061388599985
0.4,40%,316000,4,3,0.001,9.390947395212322,11979.44322498229,0.8258379789354404,98839,315052,275454,256313,0.8135577618932748,0.8743128118532814
0.4,40%,316000,5,4,0.001,9.503805017025304,13410.657652577616,0.9736136545290827,98839,314736,307532,302852,0.962241370545473,0.9771109755477607
0.4,40%,316000,6,5,0.0001,9.526861994076349,13723.459149162574,0.9942026932688514,98839,314420,312031,310385,0.9871668468926913,0.9924018828318809
0.8,80%,632755,1,0,1.0,6.641602202741721,766.3218128601446,0.0,98839,632755,1,0,0.0,1.580390514496132e-06
0.8,80%,632755,2,1,0.01,6.688836587385685,803.3870376155397,0.0007891621728265158,98839,632122,13717,1185,0.0018746381236533455,0.021699925014475055
0.8,80%,632755,3,2,0.01,8.455936613105848,4702.909379522322,0.29935551755885836,98839,631489,252429,184933,0.292852290380355,0.39973617909417264
0.8,80%,632755,4,3,0.001,9.3173808126068,11129.792631524953,0.774218678861583,98839,630856,524440,479227,0.7596456243580152,0.8313149118023765
0.8,80%,632755,5,4,0.001,9.485211996153428,13163.616750070336,0.9602181325185403,98839,630223,609152,596133,0.9459080357270363,0.9665658028983392
0.8,80%,632755,6,5,0.0001,9.519697110747673,13625.483576402417,0.9914203907364502,98839,629590,622970,618519,0.9824155402722407,0.9894852205403517
1.0,100%,790755,1,0,1.0,6.63792084005908,763.5058907309249,0.0,98839,790755,1,0,0.0,1.264614197823599e-06
1.0,100%,790755,2,1,0.01,6.614392794740976,745.7517684334641,0.0,98839,789964,13938,8,1.0127043764019626e-05,0.017643841997863195
1.0,100%,790755,3,2,0.01,8.369612342140172,4313.963396689564,0.2797276378757373,98839,789173,297347,214754,0.2721253768185176,0.3767830374328569
1.0,100%,790755,4,3,0.001,9.290344470080559,10832.915071075277,0.7563613553354445,98839,788382,643123,584173,0.7409770897864233,0.8157504864393149
1.0,100%,790755,5,4,0.001,9.47932719324235,13086.378947423262,0.9550481085401512,98839,787591,758202,740272,0.9399193236083195,0.9626849468823285
1.0,100%,790755,6,5,0.0001,9.518519173791042,13609.443064956145,0.9904693491435567,98839,786800,777858,771789,0.980921453990849,0.9886349771225216
