training_fraction,training_subset,training_tokens,from_order,to_order,history_length,selected_alpha_previous,selected_alpha_current,S_k,D_k,U_k,H_previous,H_current,delta_H
0.05,5%,40000,1,2,1,0.1,0.01,0.06091091091091091,0.12307307307307307,0.0764872521246459,6.850987569727325,7.992681008361757,1.141693438634432
0.05,5%,40000,2,3,2,0.01,0.001,0.5659569138276553,0.6782815631262525,0.6209429380817483,7.992681008361757,9.322853396021015,1.3301723876592586
0.05,5%,40000,3,4,3,0.001,0.001,0.9111835506519559,0.94679037111334,0.9503642250101174,9.322853396021015,9.511091905853544,0.18823850983252832
0.05,5%,40000,4,5,4,0.001,0.001,0.9780120481927711,0.9874497991967871,0.9948502630513962,9.511091905853544,9.533276272209548,0.022184366356004404
0.05,5%,40000,5,6,5,0.001,0.0001,0.9905025125628141,0.994748743718593,0.9986543909348442,9.533276272209548,9.53879062032188,0.005514348112331646
0.1,10%,79000,1,2,1,1.0,0.01,0.03727778411322715,0.08829082246803766,0.04717725617159045,6.7887356696686885,7.685388478922141,0.8966528092534523
0.1,10%,79000,2,3,2,0.01,0.01,0.5023210978919865,0.6163466172852033,0.5406009712666936,7.685388478922141,9.199539310543273,1.5141508316211318
0.1,10%,79000,3,4,3,0.01,0.001,0.8898848444066376,0.9314906745553115,0.9261027923917442,9.199539310543273,9.495704500833854,0.29616519029058175
0.1,10%,79000,4,5,4,0.001,0.001,0.974721671496111,0.9853337400233847,0.9921084581141238,9.495704500833854,9.529765395448356,0.03406089461450179
0.1,10%,79000,5,6,5,0.001,0.0001,0.9899370269066853,0.9943642261942625,0.9981282881424525,9.529765395448356,9.5375265334588,0.007761138010444313
0.2,20%,158000,1,2,1,1.0,0.01,0.021654565958363427,0.0598319838826168,0.023624038850667745,6.742697756938081,7.381779193523584,0.6390814365855029
0.2,20%,158000,2,3,2,0.01,0.01,0.42900357677380074,0.5430798305471702,0.4609267503035208,7.381779193523584,9.02296173277544,1.641182539251857
0.2,20%,158000,3,4,3,0.01,0.001,0.8540939273516753,0.9056409735535721,0.8884358559287737,9.02296173277544,9.455387862716714,0.4324261299412733
0.2,20%,158000,4,5,4,0.001,0.001,0.9693775100401606,0.9816989476894922,0.985259004451639,9.455387862716714,9.511507390408276,0.056119527691562254
0.2,20%,158000,5,6,5,0.001,0.0001,0.9885121811589593,0.9933019528019846,0.995447187373533,9.511507390408276,9.52097073917489,0.009463348766614033
0.4,40%,316000,1,2,1,1.0,0.01,0.00937012962329418,0.037702259221246565,0.008528935653581546,6.722402787228566,7.09776215820014,0.3753593709715739
0.4,40%,316000,2,3,2,0.01,0.01,0.36127000837117274,0.4730061388599985,0.38485430999595305,7.09776215820014,8.82153519032304,1.7237730321229003
0.4,40%,316000,3,4,3,0.01,0.001,0.8135577618932748,0.8743128118532814,0.8462262242007285,8.82153519032304,9.415845137663277,0.5943099473402373
0.4,40%,316000,4,5,4,0.001,0.001,0.962241370545473,0.9771109755477607,0.9779138000809389,9.415845137663277,9.500786094777073,0.08494095711379579
0.4,40%,316000,5,6,5,0.001,0.0001,0.9871668468926913,0.9924018828318809,0.9938992310805342,9.500786094777073,9.514203580227969,0.013417485450895938
0.8,80%,632755,1,2,1,1.0,0.01,0.0018746381236533455,0.021699925014475055,0.0005362201537838932,6.710417974649462,6.835922423028753,0.1255044483792913
0.8,80%,632755,2,3,2,0.01,0.01,0.292852290380355,0.39973617909417264,0.31475111290975316,6.835922423028753,8.588776911127262,1.7528544880985084
0.8,80%,632755,3,4,3,0.01,0.001,0.7596456243580152,0.8313149118023765,0.7969850263051396,8.588776911127262,9.357434425899939,0.7686575147726771
0.8,80%,632755,4,5,4,0.001,0.001,0.9459080357270363,0.9665658028983392,0.9669668150546338,9.357434425899939,9.482127818728186,0.12469339282824699
0.8,80%,632755,5,6,5,0.001,0.0001,0.9824155402722407,0.9894852205403517,0.9910562525293404,9.482127818728186,9.500972326421051,0.018844507692865164
1.0,100%,790755,1,2,1,1.0,0.01,1.0127043764019626e-05,0.017643841997863195,0.0,6.708297744150424,6.759190029715512,0.05089228556508818
1.0,100%,790755,2,3,2,0.01,0.01,0.2721253768185176,0.3767830374328569,0.29382840955078915,6.759190029715512,8.50889264926192,1.749702619546408
1.0,100%,790755,3,4,3,0.01,0.001,0.7409770897864233,0.8157504864393149,0.7800182112505059,8.50889264926192,9.33539877520567,0.8265061259437498
1.0,100%,790755,4,5,4,0.001,0.001,0.9399193236083195,0.9626849468823285,0.9626770538243626,9.33539877520567,9.477014218542013,0.14161544333634346
1.0,100%,790755,5,6,5,0.001,0.0001,0.980921453990849,0.9886349771225216,0.9902468636179684,9.477014218542013,9.500068047200742,0.023053828658728293
